g,predicted_center_energy,search_half_window,guide_energy,lower_energy,upper_energy,lower_status,upper_status
20.0,2.0526549776032343,0.003,2.0526549820134186,2.0526549776032343,2.0526549776032343,CLARABEL:optimal,CLARABEL:optimal_inaccurate
22.0,2.1895961725080992,0.003,2.1895961757611313,2.1895961725080992,2.1895961725080992,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
24.0,2.322321952785686,0.003,2.322321955717953,2.322321952785686,2.322321952785686,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
26.0,2.45131030885632,0.003,2.4513103114279744,2.45131030885632,2.45131030885632,CLARABEL:optimal,CLARABEL:optimal_inaccurate
28.0,2.5769515307346054,0.003,2.576951533242431,2.5769515307346054,2.5769515307346054,CLARABEL:optimal,CLARABEL:optimal_inaccurate
30.0,2.6995695637299226,0.003,2.699569565236916,2.6995695637299226,2.6995695637299226,CLARABEL:optimal,CLARABEL:optimal_inaccurate
35.0,2.994579992129532,0.003,2.9945799923602414,2.994579992129532,2.994579992129532,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
40.0,3.275596006855886,0.003,3.2755960061660425,3.275596006855886,3.275596006855886,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
45.0,3.544953744579645,0.003,3.544953744249893,3.544953744579645,3.544953744579645,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
50.0,3.804380882573222,0.003,3.8043808821627985,3.804380882573222,3.804380882573222,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
55.0,4.055200758892114,0.003,4.055200758717096,4.055200758892114,4.055200758892114,CLARABEL:optimal,CLARABEL:optimal_inaccurate
60.0,4.298455480497277,0.003,4.298455480363748,4.298455480497277,4.298455480497277,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
70.0,4.765475815956007,0.003,4.765475816001883,4.765475815956007,4.765475815956007,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
80.0,5.210552855531437,0.003,5.210552855574992,5.210552855531437,5.210552855531437,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
90.0,5.637313254193813,0.003,5.637313254216789,5.637313254193813,5.637313254193813,CLARABEL:optimal_inaccurate,CLARABEL:optimal_inaccurate
100.0,6.048448198215136,0.003,6.048448198220758,6.048448198215136,6.048448198215136,CLARABEL:optimal,CLARABEL:optimal_inaccurate
