g,predicted_center_energy,search_half_window,guide_energy,lower_energy,upper_energy,gap,lower_status,upper_status,lower_margin,upper_margin,lower_psd_residual,upper_psd_residual_main,upper_psd_residual_ground
95.0,5.844692739192758,0.003,5.844692739197553,5.844336801186298,5.846381627086074,0.0020448258997758373,CLARABEL:optimal,CLARABEL:optimal,-4.999484265422212e-05,-4.999449054560595e-05,3.7598290679600713e-06,3.759434969588215e-06,1.795111960470972e-06
95.5,5.865227158789596,0.003,5.865227158791618,5.864870041847279,5.866921751217613,0.002051709370333832,CLARABEL:optimal,CLARABEL:optimal,-4.9993207843263996e-05,-4.9983472066485415e-05,3.7596037184283913e-06,3.7585438627376024e-06,1.7946425747800657e-06
96.0,5.885725618150107,0.003,5.8857256181517315,5.885367145344247,5.887426339951479,0.002059194607231696,CLARABEL:optimal,CLARABEL:optimal,-4.99978998188141e-05,-4.99945279982481e-05,3.7600377853437164e-06,3.759468799548751e-06,1.7951281269776003e-06
96.5,5.906188368114292,0.003,5.906188368118369,5.905828603954662,5.9078948182027595,0.0020662142480976087,CLARABEL:optimal,CLARABEL:optimal,-4.999965153118568e-05,-4.998765793639812e-05,3.7602002042859574e-06,3.7588177080104157e-06,1.794739123535143e-06
97.0,5.926615656473902,0.003,5.926615656468575,5.926254801761164,5.928328077985145,0.002073276223980791,CLARABEL:optimal,CLARABEL:optimal,-4.999343074661589e-05,-4.998856696772168e-05,3.7596842528988835e-06,3.7591495467050042e-06,1.7949290607048605e-06
97.5,5.94700772802511,0.003,5.947007728022126,5.9466455681764385,5.9487259951095295,0.002080426933090962,CLARABEL:optimal,CLARABEL:optimal_inaccurate,-4.9996880527530325e-05,-4.999933613175861e-05,3.7599313478409628e-06,3.7588921416710804e-06,1.7949099745830775e-06
98.0,5.967364824620004,0.003,5.967364824617795,5.967001352224575,5.96908897347398,0.0020876212494052027,CLARABEL:optimal,CLARABEL:optimal_inaccurate,-4.999976220924489e-05,-4.9999029763863575e-05,3.7602048690011933e-06,3.7589527731926653e-06,1.794942204986932e-06
98.5,5.987687185216938,0.003,5.9876871852005245,5.987322538941228,5.989417229193612,0.002094690252383735,CLARABEL:optimal,CLARABEL:optimal_inaccurate,-4.999748874775613e-05,-4.999972005771142e-05,3.760019498743896e-06,3.759129747762218e-06,1.7950152894330111e-06
99.0,6.007975045929773,0.003,6.007975045923515,6.00760916413647,6.009710928282301,0.0021017641458307423,CLARABEL:optimal,CLARABEL:optimal,-4.999684436107577e-05,-4.999144119964403e-05,3.760026421987557e-06,3.759085044562991e-06,1.7949989409060122e-06
99.5,6.0282286400760166,0.003,6.0282286400670895,6.027861626033751,6.029970444936476,0.0021088189027249626,CLARABEL:optimal,CLARABEL:optimal_inaccurate,-4.999199134829686e-05,-4.998285452590132e-05,3.7596985660168435e-06,3.7590550901719423e-06,1.7953271940883078e-06
100.0,6.048448198223934,0.003,6.048448198220758,6.048079934704639,6.0501958453519595,0.0021159106473209732,CLARABEL:optimal,CLARABEL:optimal_inaccurate,-4.9994062736455546e-05,-4.999999183275222e-05,3.7597858164258418e-06,3.7596330035650522e-06,1.795171858854567e-06
