g,level_7_energy,level_7_x2
0.0,0.0,0.5
0.022,3.1273060623823664e-303,0.5006067647970954
0.025,9.382737331698492e-236,0.5007841966788107
0.03,5.575003288646486e-165,0.50113112590881
0.04,1.3123092107740402e-94,0.502019488533195
0.05,4.899167858447939e-62,0.5031729876931537
0.06,2.418806974182377e-44,0.5046005604011106
0.08,9.474340185188367e-27,0.5083112536556633
0.1,1.3169537100928365e-18,0.513282863984048
0.12,3.4909227074493846e-14,0.5196601848122404
0.15,1.4523153103502728e-10,0.5323799458742708
0.2,9.482711932723121e-08,0.5673843892894239
0.25,1.9046536065666235e-06,0.5843448065811929
