g,lower,lower_eta,lower_status,upper,upper_eta,upper_status
0.0,0.0,nan,exact:g0,0.0,nan,exact:g0
0.025,1.7185082875523488e-237,-10.0,scs:optimal:feas,8.337604091436793e-229,10.0,scs:optimal_inaccurate:feas
0.04,2.403578161489707e-96,-10.0,scs:optimal:feas,1.1661324684018583e-87,10.0,scs:optimal:feas
0.06,4.43019950806762e-46,-10.0,scs:optimal:feas,2.1493786100359835e-37,10.0,scs:optimal:feas
0.09,9.697826526433253e-24,-10.0,scs:optimal:feas,4.440892098500626e-16,7.639634232337727,scs:optimal:feas
0.12,6.393847969812516e-16,-10.0,scs:optimal:feas,1.3907985874084261e-11,-0.0125327028943247,scs:optimal:feas
0.18,2.4593768870449333e-10,-10.0,scs:optimal_inaccurate:feas,5.254973590496093e-06,-0.03039266921265993,scs:optimal_inaccurate:feas
0.24,2.2161393278918528e-08,-10.0,scs:optimal_inaccurate:feas,0.0004603694213946019,-0.058567197350701594,scs:optimal_inaccurate:feas
0.3,1.779824708075291e-07,-10.0,scs:optimal_inaccurate:feas,0.0036034487292047057,-0.08428314164269905,scs:optimal_inaccurate:feas
