g,lower,lower_status,upper,upper_status
0.0,0.0,exact:g0,0.0,exact:g0
0.025,9.382737331698492e-236,scs:optimal:feas,1.1283720112293393e-229,scs:optimal_inaccurate:feas
0.03,5.575003288646486e-165,scs:optimal:feas,5.575003288646486e-165,scs:optimal_inaccurate:feas
0.04,1.3123092107740402e-94,scs:optimal:feas,1.5781886790257577e-88,scs:optimal:feas
0.05,4.899167858447939e-62,scs:optimal:feas,5.891760255411866e-56,scs:optimal:feas
0.06,2.418806974182377e-44,scs:optimal:feas,2.908867629719367e-38,scs:optimal:feas
0.07,1.1277450612936644e-33,scs:optimal:feas,1.3562310421574297e-27,scs:optimal:feas
0.085,3.6257590736908925e-24,scs:optimal:feas,4.36035339536998e-18,scs:optimal:feas
0.1,1.3169537100928365e-18,scs:optimal_inaccurate:feas,8.881784197001252e-16,scs:optimal_inaccurate:feas
0.12,3.4909227074493846e-14,scs:optimal_inaccurate:feas,1.3907985874084261e-11,scs:optimal:feas
0.14,1.6221561732620065e-11,scs:optimal:feas,6.431118748650988e-09,scs:optimal:feas
0.16,8.733275764252913e-10,scs:optimal_inaccurate:feas,3.442037792567021e-07,scs:optimal:feas
0.18,1.3427742826692649e-08,scs:optimal_inaccurate:feas,5.254973590496093e-06,scs:optimal_inaccurate:feas
0.2,9.482711932723121e-08,scs:optimal_inaccurate:feas,3.680090813162895e-05,scs:optimal_inaccurate:feas
0.22,4.027582189556618e-07,scs:optimal_inaccurate:feas,0.0001548153103778649,scs:optimal_inaccurate:feas
0.24,1.2099710751859081e-06,scs:optimal_inaccurate:feas,0.0004603694213946019,scs:optimal_inaccurate:feas
0.26,2.848142484951973e-06,scs:optimal_inaccurate:feas,0.0010728763266034669,scs:optimal_inaccurate:feas
0.28,5.617758895224953e-06,scs:optimal_inaccurate:feas,0.0020975541244096507,scs:optimal_inaccurate:feas
0.3,9.717513644419189e-06,scs:optimal_inaccurate:feas,0.0036034487292047057,scs:optimal_inaccurate:feas
